mass_kg,grade_deg,steady_force_N,wheel_output_torque_Nm,minimum_uniform_mu,wheel_output_torque_Nm_at_accel_0p1
24.0,14.0,70.64074542066123,2.4724260897231436,0.3093280028431807,2.5564260897231437
24.0,14.25,71.62160853895966,2.5067562988635883,0.3139676464749437,2.590756298863588
24.0,14.5,72.60110808507183,2.5410387829775143,0.31861758435589027,2.625038782977514
24.0,14.75,73.57922541073829,2.5752728893758405,0.3232780284372659,2.6592728893758406
24.0,15.0,74.55594189401512,2.6094579662905293,0.3279491924311227,2.6934579662905294
24.0,15.25,75.53123893962835,2.6435933628869925,0.33263129185209495,2.727593362886992
24.0,15.5,76.50509797932811,2.6776784292764844,0.33732454405983847,2.7616784292764844
24.0,15.75,77.47750047224208,2.7117125165284732,0.3420291683021531,2.795712516528473
24.0,16.0,78.44842790522846,2.745694976682996,0.3467453857588079,2.8296949766829966
24.0,16.25,79.41786179322851,2.779625162762998,0.3514734195860876,2.863625162762998
24.0,16.5,80.38578367961838,2.8135024287866437,0.35621349496208027,2.8975024287866433
24.0,16.75,81.35217513656062,2.847326129779622,0.3609658391327281,2.931326129779622
24.0,17.0,82.31701776535488,2.881095621787421,0.3657306814586604,2.9650956217874214
24.0,17.25,83.28029319678832,2.9148102618875917,0.370508253462831,2.998810261887592
24.0,17.5,84.24198309148525,2.948469408201984,0.3752987888789835,3.0324694082019845
24.0,17.75,85.20206914025633,2.9820724199089716,0.3801025237009637,3.0660724199089717
24.0,18.0,86.16053306444712,3.0156186572556494,0.3849196962329063,3.09961865725565
24.0,18.25,87.11735661628609,3.0491074815700134,0.38975054714031665,3.1331074815700135
24.0,18.5,88.07252157923206,3.082538255273122,0.39459531950207316,3.1665382552731227
24.0,18.75,89.02600976832096,3.115910341891234,0.3994542588633758,3.199910341891234
24.0,19.0,89.97780303051212,3.1492231060679243,0.40432761328966527,3.233223106067925
24.0,19.25,90.92788324503377,3.1824759135761824,0.40921563342153994,3.2664759135761825
24.0,19.5,91.87623232372815,3.2156681313304856,0.414118572530698,3.299668131330485
24.0,19.75,92.82283221139582,3.248799127398854,0.4190366865769316,3.3327991273988538
24.0,20.0,93.76766488613944,3.281868271014881,0.42397023426620234,3.36586827101488
24.0,20.25,94.71071235970679,3.314874932589738,0.4289194771098271,3.3988749325897376
24.0,20.5,95.65195667783338,3.347818483724169,0.4338846794848047,3.4318184837241685
24.0,20.75,96.59137992058416,3.380698297220446,0.43886610869531406,3.464698297220445
24.0,21.0,97.52896420269471,3.4135137470943153,0.44386403503541577,3.4975137470943145
24.0,21.25,98.4646916739118,3.4462642085869133,0.44887873185298965,3.5302642085869125
24.0,21.5,99.39854451933323,3.478949058176663,0.4539104756149424,3.5629490581766636
24.0,21.75,100.33050495974695,3.5115676735911436,0.45895954597371935,3.595567673591143
24.0,22.0,101.26055525196952,3.5441194338189335,0.4640262258351568,3.6281194338189326
24.0,22.25,102.18867768918403,3.5766037191214415,0.4691108014277097,3.6606037191214416
24.0,22.5,103.11485460127719,3.609019911044702,0.47421356237309503,3.6930199110447015
24.0,22.75,104.03906835517557,3.6413673924311456,0.47933480175838683,3.725367392431145
24.0,23.0,104.96130135518156,3.673645547431355,0.48447481620960475,3.7576455474313546
24.0,23.25,105.88153604330822,3.705853761515788,0.48963390596683604,3.7898537615157877
24.0,23.5,106.79975489961356,3.737991421486475,0.4948123749609336,3.8219914214864743
24.0,23.75,107.71594044253413,3.770057915488695,0.5000105308918334,3.8540579154886947
24.0,24.0,108.63007522921787,3.8020526330226256,0.5052286853085362,3.8860526330226253
24.0,24.25,109.54214185585612,3.8339749649549644,0.5104671536907989,3.917974964954964
24.0,24.5,110.45212295801505,3.8658243035305273,0.5157262555325847,3.9498243035305265
24.0,24.75,111.36000121096615,3.8976000423838153,0.5210063144273182,3.9816000423838154
24.0,25.0,112.26575933001618,3.9293015765505666,0.5263076581549986,4.013301576550567
24.0,25.25,113.16938007083618,3.960928302479267,0.5316306187712211,4.044928302479266
24.0,25.5,114.07084622978977,3.9924796180426423,0.5369755326981602,4.076479618042643
24.0,25.75,114.97014064426075,4.023954922549127,0.5423427408175705,4.107954922549126
24.0,26.0,115.86724619297974,4.055353616754291,0.5477325885658615,4.139353616754291
24.0,26.25,116.76214579635027,4.08667510287226,0.5531454260313041,4.17067510287226
24.0,26.5,117.65482241677381,4.117918784587084,0.5585816080534314,4.201918784587084
24.0,26.75,118.54525905897434,4.149084067064102,0.564041494324693,4.233084067064102
24.0,27.0,119.43343877032171,4.18017035696126,0.5695254494944288,4.26417035696126
24.0,27.25,120.31934464115446,4.211177062440407,0.5750338432752289,4.295177062440406
24.0,27.5,121.20295980510187,4.242103593178566,0.5805670505517462,4.326103593178566
24.0,27.75,122.08426743940488,4.2729493603791715,0.586125451492034,4.356949360379171
24.0,28.0,122.96325076523652,4.303713776783279,0.5917094316614788,4.387713776783279
24.0,28.25,123.83989304802131,4.334396256680746,0.5973193821394065,4.418396256680746
24.0,28.5,124.71417759775383,4.364996215921384,0.6029556996384369,4.448996215921384
24.0,28.75,125.58608776931652,4.395513071926079,0.6086187866266675,4.479513071926078
24.0,29.0,126.45560696279651,4.4259462436978785,0.6143090514527689,4.509946243697878
