turn_radius_m,body_speed_m_s,wheel,steering_deg,rolling_speed_m_s,wheel_rpm
1.3250000000000002,0.25,FR,14.231894174145616,0.3484296255876989,23.766127385117404
1.3250000000000002,0.25,RL,-27.82988588350229,0.1834866614513989,12.515489640608253
1.3250000000000002,0.25,RR,-14.231894174145616,0.3484296255876989,23.766127385117404
1.35,0.25,FL,27.157567342350386,0.18419559667008184,12.563845588201962
1.35,0.25,FR,14.043670973655301,0.34646663467606603,23.63223322504705
1.35,0.25,RL,-27.157567342350386,0.18419559667008184,12.563845588201962
1.35,0.25,RR,-14.043670973655301,0.34646663467606603,23.63223322504705
1.375,0.25,FL,26.514659123656976,0.1849025653626416,12.612067400501434
1.375,0.25,FR,13.860265174566802,0.3445786023872354,23.50345193726798
1.375,0.25,RL,-26.514659123656976,0.1849025653626416,12.612067400501434
1.375,0.25,RR,-13.860265174566802,0.3445786023872354,23.50345193726798
1.4,0.25,FL,25.899424477122235,0.18560616701686902,12.660059549603405
1.4,0.25,FR,13.681497786665135,0.3427613798554443,23.37950053071118
1.4,0.25,RL,-25.899424477122235,0.18560616701686902,12.660059549603405
1.4,0.25,RR,-13.681497786665135,0.3427613798554443,23.37950053071118
1.425,0.25,FL,25.310247391913357,0.18630521660290794,12.707741205496733
1.425,0.25,FR,13.507198398406636,0.341011115803983,23.260116312637134
1.425,0.25,RL,-25.310247391913357,0.18630521660290794,12.707741205496733
1.425,0.25,RR,-13.507198398406636,0.341011115803983,23.260116312637134
1.4500000000000002,0.25,FL,24.745623781173006,0.1869987155557508,12.755044256799874
1.4500000000000002,0.25,FR,13.337204680177415,0.33932423051206356,23.145055112935136
1.4500000000000002,0.25,RL,-24.745623781173006,0.1869987155557508,12.755044256799874
1.4500000000000002,0.25,RR,-13.337204680177415,0.33932423051206356,23.145055112935136
1.475,0.25,FL,24.204153217042126,0.187685826713101,12.801911601290964
1.475,0.25,FR,13.171361920852108,0.3376973924551596,23.034089690778163
1.475,0.25,RL,-24.204153217042126,0.187685826713101,12.801911601290964
1.475,0.25,RR,-13.171361920852108,0.3376973924551596,23.034089690778163
1.5,0.25,FL,23.684531215027253,0.18836585264968925,12.848295668107557
1.5,0.25,FR,13.009522595147756,0.3361274973048835,22.92700830221997
1.5,0.25,RL,-23.684531215027253,0.18836585264968925,12.848295668107557
1.5,0.25,RR,-13.009522595147756,0.3361274973048835,22.92700830221997
1.525,0.25,FL,23.185542055774693,0.18903821693075748,12.894157139060603
1.525,0.25,FR,12.851545959473693,0.3346116490158127,22.823613410141537
1.525,0.25,RL,-23.185542055774693,0.18903821693075748,12.894157139060603
1.525,0.25,RR,-12.851545959473693,0.3346116490158127,22.823613410141537
1.55,0.25,FL,22.706052124942975,0.1897024478769029,12.939463841246454
1.55,0.25,FR,12.697297674166572,0.333147142762007,22.723720520363468
1.55,0.25,RL,-22.706052124942975,0.1897024478769029,12.939463841246454
1.55,0.25,RR,-12.697297674166572,0.333147142762007,22.723720520363468
1.5750000000000002,0.25,FL,22.24500374705878,0.19035816449160184,12.984189787173658
1.5750000000000002,0.25,FR,12.546649450171168,0.33173144951622474,22.627157129805727
1.5750000000000002,0.25,RL,-22.24500374705878,0.19035816449160184,12.984189787173658
1.5750000000000002,0.25,RR,-12.546649450171168,0.33173144951622474,22.627157129805727
1.6,0.25,FL,21.80140948635181,0.19100506425305194,13.028314342053553
1.6,0.25,FR,12.399478718384128,0.33036220209084527,22.5337617743493
