assumed_tau_s,speed_m_s,distance_to_90pct_m,minimum_dwell_90pct_s,minimum_dwell_95pct_s
15.0,0.13999999999999999,4.835428695287495,34.53877639491069,44.93598410330986
15.0,0.145,5.008122577262049,34.53877639491069,44.93598410330986
15.0,0.15,5.1808164592366035,34.53877639491069,44.93598410330986
15.0,0.15499999999999997,5.353510341211156,34.53877639491069,44.93598410330986
15.0,0.15999999999999998,5.526204223185709,34.53877639491069,44.93598410330986
15.0,0.16499999999999998,5.6988981051602625,34.53877639491069,44.93598410330986
15.0,0.16999999999999998,5.871591987134817,34.53877639491069,44.93598410330986
15.0,0.17499999999999996,6.04428586910937,34.53877639491069,44.93598410330986
15.0,0.17999999999999997,6.216979751083922,34.53877639491069,44.93598410330986
15.0,0.18499999999999997,6.389673633058476,34.53877639491069,44.93598410330986
15.0,0.18999999999999997,6.56236751503303,34.53877639491069,44.93598410330986
15.0,0.19499999999999998,6.735061397007584,34.53877639491069,44.93598410330986
15.0,0.19999999999999996,6.907755278982136,34.53877639491069,44.93598410330986
15.0,0.20499999999999996,7.0804491609566895,34.53877639491069,44.93598410330986
15.0,0.20999999999999996,7.253143042931243,34.53877639491069,44.93598410330986
15.0,0.21499999999999997,7.425836924905798,34.53877639491069,44.93598410330986
15.0,0.21999999999999997,7.598530806880351,34.53877639491069,44.93598410330986
15.0,0.22499999999999995,7.771224688854903,34.53877639491069,44.93598410330986
15.0,0.22999999999999995,7.943918570829457,34.53877639491069,44.93598410330986
15.0,0.23499999999999996,8.116612452804011,34.53877639491069,44.93598410330986
15.0,0.23999999999999996,8.289306334778564,34.53877639491069,44.93598410330986
15.0,0.24499999999999997,8.462000216753117,34.53877639491069,44.93598410330986
15.0,0.24999999999999997,8.634694098727671,34.53877639491069,44.93598410330986
15.0,0.25499999999999995,8.807387980702224,34.53877639491069,44.93598410330986
15.0,0.25999999999999995,8.980081862676778,34.53877639491069,44.93598410330986
15.0,0.26499999999999996,9.152775744651331,34.53877639491069,44.93598410330986
15.0,0.26999999999999996,9.325469626625885,34.53877639491069,44.93598410330986
15.0,0.27499999999999997,9.498163508600438,34.53877639491069,44.93598410330986
